,Latitud,Longitud
0,41.42565,1.95125
1,10.95227,-74.82175
2,10.9524,-74.78643
3,10.96695,-74.80776
4,5.07258,-75.49061
5,10.98804,-74.78534
6,10.98196,-74.77101
7,10.96841,-74.78327
8,11.00064,-74.79672
9,10.98637,-74.78104
10,10.97501,-74.7779
11,10.9913,-74.80678
12,10.97148,-74.81225
13,10.9764,-74.77743
14,10.99285,-74.81135
15,10.95818,-74.82916
16,10.98913,-74.82178
17,42.25757,3.1023
18,4.8109,-75.67789
19,10.95026,-74.79214
20,10.97902,-74.79671
21,10.95904,-74.82157
22,10.92907,-74.78645
23,10.9764,-74.77743
24,10.9999,-74.80133
25,10.97317,-74.78897
26,10.98883,-74.78049
27,11.01055,-74.81198
28,11.01563,-74.80545
29,10.95428,-74.79662
30,10.96439,-74.82143
31,-10.86825,-37.09378
32,10.93959,-74.81282
33,39.52676,-0.48606
34,10.96084,-74.77717
35,10.97902,-74.79671
36,10.94253,-74.80709
37,10.93753,-74.77503
38,10.9395,-74.80912
39,10.97956,-74.77742
40,10.94406,-74.82764
41,10.83383,-74.76283
42,,
43,10.97533,-74.77527
44,10.93895,-74.8008
45,10.9955,-74.80776
46,10.96416,-74.82263
47,10.94364,-74.80207
48,11.01191,-74.8108
49,11.013,-74.83406
50,10.96488,-74.79674
51,10.99647,-74.81582
52,10.97347,-74.7937
53,10.9791,-74.7847
54,10.99535,-74.80925
55,10.9876,-74.79977
56,10.96561,-74.84264
57,11.00955,-74.83179
58,10.97142,-74.82279
59,10.93569,-74.77582
60,10.94728,-74.79967
61,10.93676,-74.7799
62,11.01523,-74.81792
63,10.94672,-74.77565
64,10.97634,-74.7769
65,10.98543,-74.81113
66,11.01406,-74.81769
67,10.94723,-74.80611
68,10.98162,-74.79686
69,10.97442,-74.83979
70,10.95522,-74.78653
71,10.92907,-74.78645
72,11.01487,-74.79428
73,10.99354,-74.82177
74,11.02297,-74.86973
75,10.99274,-74.78557
76,11.00626,-74.80091
77,10.98196,-74.77101
78,10.93175,-74.78864
79,10.97257,-74.7817
80,10.95883,-74.79148
81,10.99341,-74.8102
82,10.9764,-74.77743
83,10.9465,-74.78472
84,10.98809,-74.77902
85,10.97978,-74.78824
86,10.96688,-74.78389
87,10.98195,-74.83234
88,10.98507,-74.80977
89,11.01406,-74.81769
90,10.97634,-74.7769
91,10.93628,-74.83451
92,10.93835,-74.80019
93,11.03705,-74.81689
94,11.01118,-74.83493
95,10.98767,-74.78966
96,10.95082,-74.77567
97,10.96635,-74.79287
98,10.93636,-74.80288
99,10.95565,-74.80059
100,-10.86825,-37.09378
101,11.00749,-74.79698
102,10.96669,-74.83535
103,10.96442,-74.78617
104,10.9645,-74.79262
105,10.9397,-74.78552
106,10.97082,-74.79845
107,11.00738,-74.82069
108,10.94772,-74.81072
109,10.9878,-74.78721
110,11.01225,-74.82209
111,10.96059,-74.80427
112,10.96583,-74.8016
113,10.96983,-74.78247
114,10.97442,-74.83979
115,10.97426,-74.83621
116,11.00008,-74.80003
117,10.96221,-74.80741
118,10.95856,-74.82362
119,7.89434,-72.53368
120,10.95865,-74.82257
121,10.96073,-74.83957
122,3.53467,-76.27848
123,10.93843,-74.82408
124,11.01457,-74.80407
125,10.9792,-74.83829
126,10.93247,-74.81706
127,11.00566,-74.82159
128,10.94288,-74.76412
129,10.98262,-74.7651
130,11.01474,-74.79645
131,11.00648,-74.78962
132,10.9675,-74.80155
133,10.98294,-74.80223
134,10.95436,-74.81473
135,10.99178,-74.79115
136,10.98041,-74.80688
137,10.93225,-74.782
138,10.94764,-74.77789
139,10.99074,-74.7906
140,11.01551,-74.81134
141,11.00702,-74.81271
142,10.97634,-74.7769
143,-10.86825,-37.09378
144,11.00304,-74.82077
145,10.93636,-74.80288
146,10.96835,-74.83805
147,11.00888,-74.81608
148,11.00044,-74.80817
149,10.98359,-74.77534
150,10.95695,-74.79913
151,10.95161,-74.83444
152,39.52621,-0.49234
153,10.48105,-73.28748
154,10.96872,-74.80798
155,10.93946,-74.78734
156,10.96575,-74.84277
157,11.0053,-74.79907
158,10.96221,-74.80741
159,10.99754,-74.83049
160,10.96425,-74.79626
161,10.97634,-74.7769
162,11.00064,-74.79672
163,10.9687,-74.80733
164,10.9764,-74.77743
165,10.97902,-74.79671
166,11.03911,-74.82661
167,10.95623,-74.82941
168,11.0047,-74.82688
169,11.03167,-74.865
170,10.99712,-74.81545
171,10.83383,-74.76283
172,10.95798,-74.80265
173,10.98618,-74.7919
174,10.98455,-74.81198
175,10.97129,-74.82874
176,-10.86825,-37.09378
177,10.94331,-74.77708
178,10.96221,-74.80741
179,10.9943,-74.80551
180,10.95403,-74.79572
181,10.99847,-74.81465
182,10.99119,-74.79847
183,11.02999,-74.86921
184,10.94609,-74.79609
185,10.93559,-74.79756
186,10.96073,-74.83957
187,10.97902,-74.79671
188,10.97831,-74.83616
189,10.9764,-74.77743
190,11.00232,-74.82107
191,10.93233,-74.78199
192,10.94772,-74.81072
193,10.96456,-74.78375
194,10.95627,-74.78958
195,19.42768,-99.0348
196,10.93231,-74.782
197,10.95328,-74.78035
198,11.00927,-74.81328
199,10.98332,-74.77992
200,10.98533,-74.78883
201,10.96144,-74.79821
202,10.9331,-74.83351
203,10.97058,-74.79674
204,10.94774,-74.83336
205,10.94719,-74.83345
206,10.92907,-74.78645
207,19.13155,-96.12153
208,10.95397,-74.79591
209,11.01191,-74.8108
210,10.96718,-74.79253
211,10.96446,-74.8385
212,10.97763,-74.7856
213,10.94662,-74.8102
214,10.96109,-74.77964
215,10.96718,-74.79253
216,10.99347,-74.82008
217,10.94922,-74.79995
218,10.99611,-74.80886
219,10.99389,-74.803
220,10.93882,-74.80414
221,10.97459,-74.80208
222,10.99983,-74.81386
223,10.96686,-74.80109
224,11.00128,-74.78424
225,10.9518,-74.81081
226,10.98121,-74.79263
227,11.0187,-74.81792
228,10.97646,-74.83067
229,10.97634,-74.7769
230,10.96777,-74.84187
231,10.9606,-74.77486
232,11.01278,-74.81867
233,10.99039,-74.80488
234,10.96598,-74.78989
235,11.01191,-74.8108
236,10.9476,-74.77325
237,10.83387,-74.76337
238,10.96221,-74.80741
239,10.96073,-74.83957
240,10.83387,-74.76337
241,10.97634,-74.7769
242,11.03934,-74.82539
243,10.92907,-74.78645
244,39.52676,-0.48606
245,10.994,-74.81571
246,11.02339,-74.80155
247,10.96695,-74.80776
248,10.9826,-74.83047
249,10.95208,-74.7902
250,10.96803,-74.78622
251,10.93559,-74.79756
252,11.00493,-74.81988
253,10.99649,-74.78852
254,11.03075,-74.86741
255,10.96221,-74.80741
256,11.00894,-74.79088
257,10.93293,-74.80406
258,3.43293,-76.51923
259,10.99537,-74.81215
260,10.97446,-74.78655
261,10.93231,-74.782
262,11.00449,-74.78754
263,11.00255,-74.78974
264,10.95856,-74.82362
265,11.00616,-74.80714
266,10.98196,-74.77101
267,10.99156,-74.78576
268,10.97462,-74.79226
269,10.97687,-74.84657
270,4.67298,-74.04541
271,10.98196,-74.77101
272,10.98215,-74.78272
273,10.98335,-74.80343
274,10.98932,-74.82066
275,10.99475,-74.82681
276,39.52676,-0.48606
277,11.00648,-74.78962
278,10.98417,-74.82387
279,11.01624,-74.82239
280,10.99487,-74.80132
281,10.96939,-74.77435
282,10.94541,-74.82411
283,10.96217,-74.79679
284,4.64851,-74.0877
285,11.01489,-74.81856
286,10.93203,-74.78043
287,10.96766,-74.78654
288,10.97634,-74.7769
289,10.9764,-74.77743
290,10.99255,-74.80656
291,10.96473,-74.78686
292,10.9877,-74.81692
293,10.96335,-74.78345
294,10.97607,-74.81178
295,10.99772,-74.81513
296,11.01733,-74.8191
297,11.00304,-74.82077
298,11.00591,-74.78898
299,10.99487,-74.80132
300,-36.5885,-56.68784
301,10.94662,-74.8102
302,10.97495,-74.82449
303,10.93228,-74.78201
304,11.00591,-74.78898
305,10.9968,-74.81005
306,10.93516,-74.82619
307,10.96073,-74.83957
308,39.52676,-0.48606
309,10.97793,-74.82697
310,10.99657,-74.78934
311,10.95446,-74.81787
312,10.95981,-74.79679
313,36.4777,-5.00585
314,11.01523,-74.81792
315,11.00591,-74.78898
316,10.9791,-74.7847
317,11.01562,-74.82059
318,11.00738,-74.82069
319,10.97851,-74.77604
320,10.93941,-74.82134
321,11.01376,-74.79418
322,10.99761,-74.81799
323,10.98223,-74.81228
324,10.97634,-74.7769
325,10.98417,-74.82387
326,10.96217,-74.78716
327,10.94772,-74.81072
328,10.9798,-74.78698
329,10.92813,-74.79613
330,10.96221,-74.80741
331,6.23256,-75.52903
332,10.97763,-74.78064
333,10.96535,-74.84249
334,11.03934,-74.82539
335,10.97269,-74.81058
336,39.52676,-0.48606
337,20.97403,-89.61046
338,10.97634,-74.7769
339,10.97634,-74.7769
340,10.97824,-74.77943
341,10.98687,-74.82
342,10.98293,-74.78612
343,10.99684,-74.8085
344,10.97634,-74.7769
345,10.93949,-74.82479
346,10.977,-74.80575
347,10.93486,-74.78429
348,21.27991,-89.67768
349,10.96608,-74.8035
350,10.95785,-74.82922
351,11.0224,-74.80788
352,20.96895,-89.56872
353,10.96995,-74.80361
354,10.99006,-74.80798
355,10.99983,-74.81386
356,10.95977,-74.80708
357,11.00044,-74.78852
358,11.03015,-74.86539
359,41.42565,1.95125
360,10.95306,-74.81955
361,10.97595,-74.81063
362,20.9721,-89.6297
363,10.96066,-74.79067
364,10.97277,-74.80226
365,39.60807,-0.56072
366,11.03934,-74.82539
367,10.9594,-74.78611
368,10.96856,-74.84244
369,11.01692,-74.8051
370,10.97645,-74.77756
371,10.98253,-74.79231
372,10.95287,-74.79318
373,11.00648,-74.78962
374,11.02629,-74.80305
375,10.94082,-74.77816
376,10.96546,-74.8333
377,10.99066,-74.77966
378,10.96914,-74.83786
379,10.96219,-74.83956
380,10.98672,-74.78246
381,10.97233,-74.77468
382,10.97634,-74.7769
383,10.95973,-74.78806
384,10.96221,-74.80741
385,10.98853,-74.80152
386,10.84405,-74.77323
387,10.94593,-74.79412
388,10.96221,-74.80741
389,10.98961,-74.79664
390,4.57761,-74.1627
391,10.98127,-74.83809
392,10.96949,-74.7986
393,10.94835,-74.82179
394,4.64851,-74.0877
395,10.97146,-74.83178
396,10.9594,-74.78611
397,10.97597,-74.8054
398,10.98399,-74.82444
399,10.99988,-74.81708
400,9.26379,-74.78063
401,10.9764,-74.77743
402,10.98354,-74.80409
403,10.9764,-74.77743
404,10.96695,-74.80776
405,10.96684,-74.79354
406,10.94772,-74.81072
407,10.94147,-74.79807
408,10.95295,-74.80424
409,10.97687,-74.84657
410,11.00535,-74.78932
411,10.93809,-74.77477
412,10.94397,-74.80628
413,10.99777,-74.82327
414,10.9902,-74.8027
415,11.01223,-74.81359
416,11.01804,-74.81571
417,10.97426,-74.83621
418,10.97634,-74.7769
419,10.98805,-74.8208
420,10.96567,-74.80381
421,10.96822,-74.80026
422,10.96835,-74.83805
423,10.98071,-74.78469
424,4.79967,-75.73967
425,10.93228,-74.78201
426,10.98196,-74.77101
427,10.96007,-74.79924
428,10.98354,-74.77573
429,10.97675,-74.84664
430,10.9606,-74.77486
431,11.01653,-74.85942
432,10.95097,-74.79122
433,10.96221,-74.80741
434,11.01233,-74.79241
435,10.98934,-74.80301
436,10.93501,-74.82333
437,11.01055,-74.81198
438,10.93231,-74.782
439,10.97795,-74.83647
440,11.00002,-74.82192
441,11.01523,-74.81792
442,10.98859,-74.79912
443,10.84717,-74.7823
444,10.94691,-74.83343
445,10.94835,-74.82179
446,11.00792,-74.83413
447,10.9979,-74.796
448,10.94619,-74.80052
449,10.96221,-74.80741
450,10.97634,-74.7769
451,11.02837,-74.80566
452,7.89539,-72.51276
453,10.96856,-74.84244
454,10.93228,-74.78201
455,10.94775,-74.8123
456,10.93968,-74.78276
457,10.94662,-74.8102
458,10.9806,-74.7823
459,10.95056,-74.82169
460,10.93949,-74.82408
461,10.97604,-74.80709
462,11.00875,-74.81398
463,10.97924,-74.77928
464,10.96253,-74.7846
465,10.98416,-74.78376
466,10.97705,-74.83237
467,10.93175,-74.78864
468,10.97492,-74.8077
469,10.97114,-74.78164
470,10.97634,-74.7769
471,10.92907,-74.78645
472,10.99039,-74.80488
473,10.9798,-74.78698
474,10.97634,-74.7769
475,10.96002,-74.78894
476,19.13525,-96.12177
477,10.95517,-74.8053
478,10.98998,-74.81828
479,10.97154,-74.83706
480,10.984,-74.78304
481,11.0168,-74.8258
482,10.93026,-74.80059
483,10.95227,-74.82175
484,10.96576,-74.80647
485,10.96999,-74.80493
486,11.00129,-74.80465
487,10.93626,-74.78068
488,10.93228,-74.78201
489,10.95463,-74.79238
490,10.97086,-74.83167
491,10.93228,-74.78201
492,10.92945,-74.7949
493,11.0081,-74.8222
494,10.96983,-74.78276
495,10.95361,-74.77874
496,10.96959,-74.79524
497,10.96609,-74.80816
498,10.95798,-74.80265
499,19.13525,-96.12177
500,10.98284,-74.79365
501,10.99944,-74.791
502,11.02629,-74.80305
503,10.94901,-74.77725
504,10.94624,-74.79005
505,10.97065,-74.82807
506,10.96135,-74.78508
507,10.96183,-74.8064
508,10.97122,-74.81088
509,10.93834,-74.7989
510,10.93313,-74.80379
511,10.96339,-74.8026
512,10.94118,-74.80747
513,10.97233,-74.77468
514,10.94772,-74.81072
515,10.95746,-74.80219
516,10.96354,-74.77514
517,11.00304,-74.82077
518,11.01751,-74.8214
519,10.92991,-74.79847
520,10.93062,-74.79514
521,10.99571,-74.81629
522,10.97702,-74.83235
523,10.99684,-74.8085
524,4.64851,-74.0877
525,11.01283,-74.81621
526,10.91615,-74.8826
527,4.67298,-74.04541
528,3.87555,-76.99768
529,10.94457,-74.82619
530,11.00648,-74.78962
531,10.96102,-74.82703
532,10.99234,-74.802
533,11.01468,-74.81733
534,10.96546,-74.8333
535,10.95852,-74.77459
536,10.95368,-74.79526
537,11.01188,-74.8237
538,10.96221,-74.80741
539,10.93175,-74.78864
540,10.96113,-74.8402
541,10.97634,-74.7769
542,10.97925,-74.78267
543,-34.91782,-57.92157
544,10.96688,-74.78389
545,39.52676,-0.48606
546,10.99927,-74.80862
547,10.96835,-74.83805
548,10.9876,-74.79977
549,10.99531,-74.81363
550,10.94781,-74.80211
551,10.9436,-74.83637
552,11.00143,-74.82138
553,10.89676,-74.78411
554,39.52676,-0.48606
555,10.99412,-74.78106
556,5.06256,-75.4773
557,10.96974,-74.8387
558,10.93024,-74.79443
559,11.01314,-74.81002
560,11.01908,-74.80452
561,10.95107,-74.77395
562,11.0,-74.82619
563,10.9764,-74.77743
564,10.99389,-74.803
565,10.96712,-74.79638
566,10.9878,-74.78721
